,segment
2528,最后
2529,的
2530,一点
2531,尊严
2532,。
2533,？
2534,事在人为
2535,孔会
2536,当
2537,凌绝顶
2538,，
2539,一览
2540,众山
2541,小
2542,！
2543,Loser
2544,不忘
2545,初心
2546,，
2547,继续前进
2548,当
2549,你
2550,的
2551,才华
2552,配
2553,的
2554,上
2555,你
2556,的
2557,情怀
2558,，
2559,你
2560,即
2561,可以
2562,脚踏实地
2563,，
2564,又
2565,可以
2566,仰望
2567,星空
2568,自尊
2569,，
2570,自爱
2571,，
2572,自信
2573,，
2574,自强
2575,，
2576,自立
2577,何必
2578,远方
2579,！
2580,一念
2581,之慈
2582,，
2583,万物
2584,皆
2585,善
2586,敢于
2587,直面
2588,别人
2589,眼中
2590,的
2591,自己
2592,～
2593,15813880102what
2594, 
2595,would
2596, 
2597,jesus
2598, 
2599,do
2600,昨日
2601,种种
2602,，
2603,皆
2604,成今
2605,我
2606,。
2607,是
2608,的
2609,吧
2610,，
2611,所有
2612,让
2613,你
2614,感到
2615,害怕
2616,的
2617,事情
2618,都
2619,终将
2620,过去
2621,*
2622,^
2623,_
2624,^
2625,*
2626,如人饮水
2627,，
2628,冷暖自知
2629,烦恼
2630,最小化
2631,，
2632,快乐
2633,最大化
2634,。
2635,做
2636,最美
2637,的
2638,“
2639,蔗糖
2640,”
2641,如果
2642,没有
2643,如果
2644,，
2645,后来
2646,也
2647,没有
2648,后来
2649,承接
2650,各类
2651,吸塑
2652,包装
2653,我
2654,是
2655,一只
2656,小
2657,羚羊
2658,，
2659,不
2660,被
2661,吃
2662,了
2663,，
2664,我要
2665,向前
2666,奔跑
2667,。
2668,take
2669, 
2670,it
2671, 
2672,easy
2673,是
2674,我
2675,贱
2676,！
2677,fake
2678, 
2679,it
2680, 
2681,untill
2682, 
2683,you
2684, 
2685,become
2686, 
2687,it
2688,手机号
2689,18694559936
2690,向
2691,死
2692,而生
2693,，
2694,生活
2695,应该
2696,要
2697,有
2698,仪式
2699,感
2700,，
2701,否则
2702,总是
2703,灰头土脸
2704,的
2705,三观
2706,蒙牛
2707,榴莲
2708,牛奶
2709,最怕
2710,你
2711,一生
2712,碌碌无为
2713,，
2714,还
2715,说
2716,平凡
2717,难能可贵
2718,知足者
2719,常乐
2720,私
2721,は
2722,必
2723,ず
2724,実
2725,現
2726,さ
2727,せ
2728,る
2729,留学
2730,の
2731,夢
2732,だ
2733, 
2734,"
"
2735,心即理
2736, 
2737, 
2738,知行合一
2739, 
2740, 
2741,致
2742,良知
2743,天道酬勤
2744,去
2745,繁
2746,就
2747,简
2748,<
2749,span
2750, 
2751,class
2752,=
2753,""""
2754,emoji
2755, 
2756,emoji1f4f1
2757,""""
2758,>
2759,<
2760,/
2761,span
2762,>
2763,18046666444
2764,身无
2765,饥寒
2766,，
2767,父母
2768,不曾
2769,亏
2770,我
2771,。
2772,"
"
2773,人
2774,无
2775,长进
2776,，
2777,我
2778,以何
2779,对
2780,父母
2781,。
2782,愿
2783,你
2784,走出
2785,半生
2786,，
2787,归来
2788,仍
2789,是
2790,少年
2791,别人
2792,笑
2793,我
2794,太
2795,疯癫
2796,，
2797,我
2798,笑
2799,他人
2800,看
2801,不
2802,穿
2803,我
2804,是
2805,大神
2806,青涩
2807,不及
2808,当初
2809,，
2810,聚散
2811,不由
2812,你
2813,我
2814,山有
2815,木兮木
2816,有枝
2817,，
2818,心悦
2819,君兮君
2820,不知
2821,杯里
2822,有
2823,酒
2824, 
2825,碗
2826,里
2827,有
2828,肉
2829, 
2830,兜里
2831,有钱
2832, 
2833,怀里
2834,有
2835,你
2836,嘿嘿嘿
2837,所爱隔
2838,山海
2839,，
2840,山海
2841,不可
2842,平
2843,，
2844,山海
2845,亦可
2846,平
2847,，
2848,难平
2849,是
2850,人心
2851,。
2852,愿得
2853,一
2854,人心
2855,、
2856,百首
2857,不
2858,分离
2859,！
2860,就算
2861,结束
2862,，
2863,努力
2864,温暖
2865,到
2866,最后
2867,18679673126
2868,我
2869,很
2870,喜欢
2871,你
2872, 
2873,像
2874,风
2875,走
2876,了
2877,八万里
2878,花生
2879,日记
2880,<
2881,span
2882, 
2883,class
2884,=
2885,""""
2886,emoji
2887, 
2888,emoji1f338
2889,""""
2890,>
2891,<
2892,/
2893,span
2894,>
2895, 
2896,邀请
2897,码
2898,WZGSHAO
2899,抛头颅
2900,洒热血
2901,难得糊涂
2902,…
2903,…
2904,不凉
2905,热血
2906,，
2907,无畏
2908,山海
2909,。
2910,专业
2911,生产
2912,LED
2913,工程
2914,亮化
2915,灯具
2916,，
2917,3C
2918,、
2919,CE
2920,等
2921,各项
2922,证书
2923,齐全
2924,。
2925,18607600340
2926,明天
2927,在
2928,何方
2929,恩
2930, 
2931,é
2932,i
2933, 
2934, 
2935,“
2936,：
2937,“
2938,莫愁
2939,前路
2940,无知己
2941,永记
2942,初
2943,心
2944,，
2945,方得
2946,始终
2947,！
2948,愿攀
2949,那
2950,一阶一阶
2951,，
2952,看
2953,那
2954,一景
2955,一景
2956,。
2957,I
2958, 
2959,love
2960, 
2961,three
2962, 
2963,things
2964, 
2965,in
2966, 
2967,this
2968, 
2969,world
2970,.
2971,做
2972,自己
2973,最好
2974,！
2975,努力
2976,的
2977,做好
2978,自己
2979,应该
2980,做
2981,的
2982,就
2983,好
2984,，
2985,不要
2986,一直
2987,想
2988,那些
2989,有
2990,的
2991,没有
2992,的
2993,。
2994,做
2995,更好
2996,的
2997,自己
2998,！
2999,！
3000,！
3001,。
3002,。
3003,。
3004,。
3005,己所不欲
3006,勿施于人
3007,"
"
3008,"
"
3009,己
3010,所欲
3011,亦
3012,勿施于人
3013,"
"
3014,"
"
3015,反求诸己
3016,！
3017,Make
3018, 
3019, 
3020, 
3021,the
3022, 
3023, 
3024,change
3025, 
3026,!
3027, 
3028,!
3029, 
3030,!
3031,淘宝
3032,店
3033,：
3034,验证
3035,旺旺
3036,名
3037,或者
3038,订单号
3039,即可
3040,加
3041,好友
3042,额成
3043,大事
3044,者
3045,，
3046,心必静
3047,，
3048,能
3049,从
3050,小事
3051,做起
3052,，
3053,心存
3054,远大
3055,志向
3056,13823348514
3057,与其
3058,在
3059,别人
3060,的
3061,生活
3062,里
3063,跑龙套
3064,，
3065,不如
3066,精彩
3067,做
3068,自己
3069,。
3070,一个
3071,人
3072,走路
3073,，
3074,才
3075,是
3076,你
3077,和
3078,风景
3079,之间
3080,的
3081,单独
3082,私会
3083,never
3084, 
3085,fill
3086, 
3087,your
3088, 
3089,life
3090, 
3091,with
3092, 
3093,sand
3094, 
3095,firstwelcome
3096, 
3097,to
3098, 
3099,my
3100, 
3101,life
3102,！
3103,担负起
3104,自己
3105,的
3106,责任
3107,，
3108,不
3109,但是
3110,活着
3111,就算
3112,了
3113,，
3114,更要
3115,活
3116,的
3117,热烈
3118,而
3119,起劲
3120,。
3121,撑
3122,着
3123,惺忪
3124,睡眼
3125,迎接
3126,朝霞
3127,。
3128,因为
3129,我
3130,有
3131,双下巴
3132,，
3133,所以
3134,低
3135,不了
3136,头
3137,。
3138,就
3139,这样
3140,，
3141,，
3142,，
3143,，
3144,，
3145,艺美轩
3146,艺术
3147,培训
3148,～
3149,～
3150,淘宝
3151,:
3152,艺美轩
3153,文房四宝
3154,旗舰店
3155,非常
3156,能
3157,吃苦
3158,"
"
3159,我
3160,做到
3161,了
3162,前
3163,四个
3164,字
3165,！
3166,京华
3167,烟云
3168, 
3169,爱
3170,在
3171,路上
3172,欲
3173,戴
3174,王冠
3175,，
3176,必承其重
3177,减肥
3178,，
3179,加薪
3180,不断
3181,的
3182,更新
3183,自己
3184,，
3185,才能
3186,展现
3187,最好
3188,的
3189,自己
3190,！
3191,生活
3192,不止
3193,眼前
3194,的
3195,苟且
3196,，
3197,还有
3198,诗
3199,和
3200,远方
3201,的
3202,田野
3203,。
3204,不畏
3205,将来
3206,，
3207,不
3208,念
3209,过往
3210,。
3211,快快乐乐
3212,的
3213,！
3214,你
3215,能
3216,看到
3217,我
3218,，
3219,不管
3220,多远
3221,；
3222,我要
3223,看到
3224,你
3225,，
3226,你
3227,要
3228,在
3229,我
3230,面前
3231,。
3232,谢谢
3233,你
3234,这么
3235,好看
3236,还
3237,来看
3238,这么
3239,好看
3240,的
3241,我
3242,淡定
3243,，
3244,自信
3245,，
3246,坚持
3247,新加
3248,的
3249,朋友
3250,们
3251,找到
3252,朋友圈
3253,的
3254,一条
3255,链接
3256,【
3257,自取
3258,即可
3259,】
3260,懒
3261,、
3262,不是
3263,惰性
3264,、
3265,是
3266,心态
3267,返现
3268,的
3269,亲
3270,，
3271,不要
3272,急
3273,！
3274,一个
3275,工作日内
3276,通过
3277,。
3278,工作
3279,时间
3280,8
3281,-
3282,18
3283,点
3284,。
3285,一語
3286,天然
3287,萬古新
3288,，
3289,豪華落
3290,盡見
3291,真淳
3292,。
3293,海上生明月
3294,成才
3295,热线
3296,：
3297,0797
3298,-
3299,7895250carpe
3300, 
3301,diem
3302,转山
3303,转水转
3304,佛寺
3305,。
3306,不为
3307,修
3308,来世
3309,，
3310,只为
3311,与
3312,你
3313,在
3314,途中
3315,相遇
3316,！
3317,。
3318,。
3319,。
3320,可爱
3321,乡村
3322,非主流
3323,，
3324,贵族
3325,王朝
3326,杀马特
3327,。
3328,assert
3329,(
3330,me
3331,=
3332,=
3333,a
3334, 
3335,happy
3336, 
3337,dog
3338,)
3339,keep
3340, 
3341,hungry
3342,","
3343, 
3344,keep
3345, 
3346,foolish
3347,向阳
3348,向前
3349,。
3350,永不言败
3351,善待
3352,他人
3353,等于
3354,善待
3355,自己
3356,，
3357,做好
3358,自己
3359,啥
3360,也
3361,没有
3362,这个
3363,家伙
3364,很
3365,懒
3366,，
3367,什么
3368,都
3369,没有
3370,写
3371,。
3372,生活
3373,精致
3374,时
3375,，
3376,每一寸
3377,阳光
3378,都
3379,为
3380,你
3381,量身定做
3382,沉迷
3383,学习
3384,，
3385,不能自拔
3386,人生
3387,了无生趣
3388,。
3389,喜欢
3390,你
3391,，
3392,认真
3393,且
3394,怂
3395,，
3396,从一而终
3397,！
3398,内心
3399,足够
3400,强大
3401,，
3402,才
3403,能够
3404,独立
3405,承担
3406,起
3407,一切
3408,！
3409,永远
3410,相信
3411,美好
3412,的
3413,事情
3414,即将
3415,发生
3416,…
3417,…
3418,最后
3419,的
3420,倔强
3421,，
3422,只是
3423,为了
3424,最后
3425,的
3426,一点
3427,尊严
3428,。
3429,？
3430,事在人为
3431,孔会
3432,当
3433,凌绝顶
3434,，
3435,一览
3436,众山
3437,小
3438,！
3439,Loser
3440,不忘
3441,初心
3442,，
3443,继续前进
3444,当
3445,你
3446,的
3447,才华
3448,配
3449,的
3450,上
3451,你
3452,的
3453,情怀
3454,，
3455,你
3456,即
3457,可以
3458,脚踏实地
3459,，
3460,又
3461,可以
3462,仰望
3463,星空
3464,自尊
3465,，
3466,自爱
3467,，
3468,自信
3469,，
3470,自强
3471,，
3472,自立
3473,何必
3474,远方
3475,！
3476,一念
3477,之慈
3478,，
3479,万物
3480,皆
3481,善
3482,敢于
3483,直面
3484,别人
3485,眼中
3486,的
3487,自己
3488,～
3489,15813880102what
3490, 
3491,would
3492, 
3493,jesus
3494, 
3495,do
3496,昨日
3497,种种
3498,，
3499,皆
3500,成今
3501,我
3502,。
3503,是
3504,的
3505,吧
3506,，
3507,所有
3508,让
3509,你
3510,感到
3511,害怕
3512,的
3513,事情
3514,都
3515,终将
3516,过去
3517,*
3518,^
3519,_
3520,^
3521,*
3522,如人饮水
3523,，
3524,冷暖自知
3525,烦恼
3526,最小化
3527,，
3528,快乐
3529,最大化
3530,。
3531,做
3532,最美
3533,的
3534,“
3535,蔗糖
3536,”
3537,如果
3538,没有
3539,如果
3540,，
3541,后来
3542,也
3543,没有
3544,后来
3545,承接
3546,各类
3547,吸塑
3548,包装
3549,我
3550,是
3551,一只
3552,小
3553,羚羊
3554,，
3555,不
3556,被
3557,吃
3558,了
3559,，
3560,我要
3561,向前
3562,奔跑
3563,。
3564,take
3565, 
3566,it
3567, 
3568,easy
3569,是
3570,我
3571,贱
3572,！
3573,fake
3574, 
3575,it
3576, 
3577,untill
3578, 
3579,you
3580, 
3581,become
3582, 
3583,it
3584,手机号
3585,18694559936
3586,向
3587,死
3588,而生
3589,，
3590,生活
3591,应该
3592,要
3593,有
3594,仪式
3595,感
3596,，
3597,否则
3598,总是
3599,灰头土脸
3600,的
3601,三观
3602,蒙牛
3603,榴莲
3604,牛奶
3605,最怕
3606,你
3607,一生
3608,碌碌无为
3609,，
3610,还
3611,说
3612,平凡
3613,难能可贵
3614,知足者
3615,常乐
3616,私
3617,は
3618,必
3619,ず
3620,実
3621,現
3622,さ
3623,せ
3624,る
3625,留学
3626,の
3627,夢
3628,だ
3629, 
3630,"
"
3631,心即理
3632, 
3633, 
3634,知行合一
3635, 
3636, 
3637,致
3638,良知
3639,天道酬勤
3640,去
3641,繁
3642,就
3643,简
3644,<
3645,span
3646, 
3647,class
3648,=
3649,""""
3650,emoji
3651, 
3652,emoji1f4f1
3653,""""
3654,>
3655,<
3656,/
3657,span
3658,>
3659,18046666444
3660,身无
3661,饥寒
3662,，
3663,父母
3664,不曾
3665,亏
3666,我
3667,。
3668,"
"
3669,人
3670,无
3671,长进
3672,，
3673,我
3674,以何
3675,对
3676,父母
3677,。
3678,愿
3679,你
3680,走出
3681,半生
3682,，
3683,归来
3684,仍
3685,是
3686,少年
3687,别人
3688,笑
3689,我
3690,太
3691,疯癫
3692,，
3693,我
3694,笑
3695,他人
3696,看
3697,不
3698,穿
3699,我
3700,是
3701,大神
3702,青涩
3703,不及
3704,当初
3705,，
3706,聚散
3707,不由
3708,你
3709,我
3710,山有
3711,木兮木
3712,有枝
3713,，
3714,心悦
3715,君兮君
3716,不知
3717,杯里
3718,有
3719,酒
3720, 
3721,碗
3722,里
3723,有
3724,肉
3725, 
3726,兜里
3727,有钱
3728, 
3729,怀里
3730,有
3731,你
3732,嘿嘿嘿
3733,所爱隔
3734,山海
3735,，
3736,山海
3737,不可
3738,平
3739,，
3740,山海
3741,亦可
3742,平
3743,，
3744,难平
3745,是
3746,人心
3747,。
3748,愿得
3749,一
3750,人心
3751,、
3752,百首
3753,不
3754,分离
3755,！
3756,就算
3757,结束
3758,，
3759,努力
3760,温暖
3761,到
3762,最后
3763,18679673126
3764,我
3765,很
3766,喜欢
3767,你
3768, 
3769,像
3770,风
3771,走
3772,了
3773,八万里
3774,花生
3775,日记
3776,<
3777,span
3778, 
3779,class
3780,=
3781,""""
3782,emoji
3783, 
3784,emoji1f338
3785,""""
3786,>
3787,<
3788,/
3789,span
3790,>
3791, 
3792,邀请
3793,码
3794,WZGSHAO
3795,抛头颅
3796,洒热血
3797,难得糊涂
3798,…
3799,…
3800,不凉
3801,热血
3802,，
3803,无畏
3804,山海
3805,。
3806,专业
3807,生产
3808,LED
3809,工程
3810,亮化
3811,灯具
3812,，
3813,3C
3814,、
3815,CE
3816,等
3817,各项
3818,证书
3819,齐全
3820,。
3821,18607600340
3822,明天
3823,在
3824,何方
3825,恩
3826, 
3827,é
3828,i
3829, 
3830, 
3831,“
3832,：
3833,“
3834,莫愁
3835,前路
3836,无知己
3837,永记
3838,初
3839,心
3840,，
3841,方得
3842,始终
3843,！
3844,一一
3845,一一
3846,一一
3847,一一
3848,-
3849,一
3850,-
3851,一一
3852,一一
3853,一一
3854,一一
3855,一一
